"Management Ph.D. - Operations and Supply Chain Management Area - With Master's Degree","200501","200502","200503","200601","200602","200603","200701","200702","200703","200801","200802","200803","200901","200902","200903","201001","201002","201003","201101","201102","201103","201201","201202","201203","201301","201302","201303","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
HIST 506,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 511,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 512,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 513,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 515,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
HIST 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 517,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
HIST 519,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 521,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 527,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 531,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,
HIST 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,,,,,,,,,,,,,,,,,,,
HIST 533,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 534,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 535,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 536,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,
HIST 538,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 539,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 547,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 549,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 553,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 556,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 561,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 563,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 564,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 565,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 570,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 571,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 572,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 575,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 576,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 585,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,,,,,,,,,,,,,,,,,,,,,,
HIST 586,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 588,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 589,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 591,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 592,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,
HIST 593,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 596,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 601,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 602,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 609,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 611,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 613,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 621,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 622,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 623,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 625,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 631,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 632,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 634,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 635,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 636,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 637,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 638,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 647,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 650,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 652,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 653,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 664,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 669,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 671,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 672,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 681,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 689,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 690,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 692,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 694,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 695,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 696,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 697,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
HIST 702,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 712,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 714,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 742,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 751,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 762,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 771,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 781,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 791,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
HIST 799,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 509,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 512,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 514,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,,,,,,,,,,,,,,,,,,,,,,
IE 515,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 516,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,
IE 519,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 522,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,,,,,,,,,,,,,,,,,,,,,,,,
IE 525,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 527,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,,,,,,,,,,,,,,,,,,,,,
IE 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 532,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 536,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 553,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 555,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 556,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 563,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,
IE 564,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 565,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,
IE 566,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,
IE 567,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 580,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,
IE 58001,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 58002,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,,,,,,,,,,,,,,,,,,,,,,,,
IE 58003,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 58004,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 58005,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 58006,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 581,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 582,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 601,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 602,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 604,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 605,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 609,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 632,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 640,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 680,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 681,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE 682,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,
IE 751,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IE 752,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IF 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,,,,,,,,,,,,,,,,
IR 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IR 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
IR 537,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
